CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
720250158,Existing Customer,45,M,2,College,Single,$60K - $80K,Blue,33,6,3,0,23218.0,1814,21404.0,1.178,1749,37,2.083,0.078
712676208,Existing Customer,46,F,5,High School,Single,Less than $40K,Blue,36,6,3,3,1787.0,1324,463.0,0.684,4084,79,1.026,0.741
720418383,Existing Customer,45,F,3,Unknown,Single,Unknown,Blue,27,4,1,2,1877.0,0,1877.0,0.752,4854,80,0.818,0.0
716918508,Existing Customer,39,M,1,College,Single,$40K - $60K,Blue,24,4,3,3,3770.0,1197,2573.0,0.621,1602,49,0.441,0.318
716535408,Existing Customer,43,M,3,Unknown,Married,$40K - $60K,Blue,32,3,1,3,12219.0,1462,10757.0,0.558,3843,69,0.605,0.12
714247458,Existing Customer,56,F,4,Uneducated,Single,Unknown,Blue,46,6,2,2,8037.0,2276,5761.0,0.406,3271,71,0.543,0.283
719168883,Attrited Customer,45,F,5,Unknown,Single,Less than $40K,Blue,34,1,4,1,5155.0,0,5155.0,1.014,2753,45,0.607,0.0
710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985,2371.0,0.35,999,28,0.556,0.294
714843483,Existing Customer,57,F,3,Uneducated,Single,Unknown,Blue,48,1,1,2,7176.0,1493,5683.0,0.665,5063,83,0.93,0.208
822961533,Existing Customer,65,F,0,College,Divorced,Unknown,Blue,56,5,2,3,13666.0,0,13666.0,0.808,3998,70,1.0,0.0
814483608,Attrited Customer,47,F,4,Graduate,Divorced,Less than $40K,Blue,42,1,3,3,5798.0,2517,3281.0,0.58,1860,43,0.433,0.434
710794983,Existing Customer,41,F,3,High School,Single,Unknown,Blue,32,2,1,1,4745.0,1157,3588.0,0.965,4705,78,0.902,0.244
719819958,Existing Customer,34,M,2,Uneducated,Married,$40K - $60K,Blue,26,5,1,4,1438.3,708,730.3,1.212,2243,43,0.483,0.492
720942333,Existing Customer,49,M,2,Unknown,Married,$40K - $60K,Blue,36,4,3,4,5137.0,0,5137.0,0.612,2043,52,1.0,0.0
771408483,Existing Customer,48,M,5,Unknown,Unknown,$60K - $80K,Blue,36,4,1,2,4100.0,1956,2144.0,0.617,3584,61,0.743,0.477
822969858,Existing Customer,61,F,0,Graduate,Married,Unknown,Blue,56,4,1,3,5585.0,1465,4120.0,1.503,1787,31,0.722,0.262
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62
709362033,Attrited Customer,52,F,1,Graduate,Married,Less than $40K,Blue,42,1,5,3,1471.0,0,1471.0,0.624,2253,48,0.455,0.0
715197633,Existing Customer,43,M,3,Uneducated,Unknown,$40K - $60K,Blue,38,5,4,2,9449.0,1914,7535.0,0.87,4658,93,0.722,0.203
719584608,Existing Customer,40,M,4,High School,Unknown,$40K - $60K,Blue,32,3,1,1,1438.3,0,1438.3,0.657,4215,79,0.927,0.0
778810083,Existing Customer,45,F,3,Graduate,Single,Less than $40K,Blue,35,4,3,3,4210.0,0,4210.0,1.027,4175,58,0.933,0.0
711638658,Existing Customer,33,M,4,High School,Single,$40K - $60K,Blue,25,4,1,1,8650.0,1929,6721.0,0.777,2878,63,1.032,0.223
710227908,Existing Customer,37,F,3,Graduate,Single,Less than $40K,Blue,36,3,2,3,6077.0,1397,4680.0,0.834,2837,74,0.609,0.23
717233058,Existing Customer,34,M,4,Unknown,Married,$40K - $60K,Blue,26,3,2,4,5540.0,1240,4300.0,0.843,1524,31,0.824,0.224
788754108,Existing Customer,65,F,1,Unknown,Single,$40K - $60K,Blue,48,4,2,4,4599.0,637,3962.0,0.622,2608,78,0.592,0.139
780376683,Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0,1976,12636.0,1.768,1827,24,3.0,0.135
709604958,Existing Customer,51,F,3,Graduate,Single,$40K - $60K,Blue,36,3,3,4,2585.0,1847,738.0,0.627,3480,64,0.6,0.715
716613933,Existing Customer,51,F,3,High School,Single,$40K - $60K,Blue,36,6,5,2,3417.0,1482,1935.0,0.705,3651,60,0.818,0.434
721379433,Existing Customer,44,M,4,Graduate,Married,$60K - $80K,Blue,28,6,2,3,11338.0,0,11338.0,0.695,1227,24,0.5,0.0
716480358,Existing Customer,45,M,3,Uneducated,Single,$60K - $80K,Blue,36,2,2,1,11121.0,1296,9825.0,0.789,13814,81,1.025,0.117
828236133,Existing Customer,49,M,2,Graduate,Married,$40K - $60K,Blue,45,4,2,0,10541.0,1387,9154.0,0.72,4269,92,0.614,0.132
714327183,Existing Customer,37,F,4,Graduate,Married,Less than $40K,Blue,28,4,3,1,1825.0,1389,436.0,1.595,2878,54,0.636,0.761
717531483,Existing Customer,37,M,2,High School,Single,$60K - $80K,Blue,21,5,2,2,3433.0,964,2469.0,0.526,4444,87,0.642,0.281
714041283,Existing Customer,50,F,2,Graduate,Single,Unknown,Blue,40,5,2,2,6610.0,1663,4947.0,0.813,4735,83,0.766,0.252
710758683,Existing Customer,61,F,1,Graduate,Unknown,$40K - $60K,Silver,48,2,3,3,15698.0,2000,13698.0,0.749,12980,82,0.64,0.127
788715483,Existing Customer,44,F,5,Graduate,Single,Less than $40K,Blue,28,2,2,2,1558.0,879,679.0,0.874,4805,86,0.792,0.564
709560258,Attrited Customer,49,F,3,Graduate,Single,Unknown,Blue,31,2,3,4,4946.0,0,4946.0,0.54,2239,38,0.407,0.0
708152358,Attrited Customer,54,M,1,Post-Graduate,Unknown,$80K - $120K,Blue,36,1,3,2,18512.0,1664,16848.0,0.889,8019,57,0.583,0.09
708323208,Attrited Customer,49,F,3,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522.0,0,1522.0,0.482,2241,36,0.8,0.0
720071583,Attrited Customer,48,F,2,Unknown,Married,Less than $40K,Blue,36,5,1,3,7151.0,800,6351.0,0.986,854,22,0.375,0.112
768712383,Attrited Customer,51,M,5,Graduate,Divorced,$120K +,Blue,45,6,3,6,34516.0,0,34516.0,0.757,8173,91,1.022,0.0
717219933,Attrited Customer,47,F,3,Unknown,Single,Less than $40K,Blue,35,4,3,6,2402.0,628,1774.0,0.689,1930,48,0.6,0.261
711679533,Existing Customer,54,M,2,Post-Graduate,Divorced,$120K +,Blue,43,3,2,2,5569.0,968,4601.0,0.949,2600,60,0.714,0.174
714840858,Existing Customer,40,F,3,High School,Unknown,Less than $40K,Blue,31,5,2,4,2222.0,1551,671.0,0.932,3302,65,0.585,0.698
721051908,Existing Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,33,3,1,3,7552.0,0,7552.0,0.463,1393,32,0.455,0.0
720362058,Attrited Customer,57,M,2,Uneducated,Single,$60K - $80K,Silver,49,4,3,3,32182.0,0,32182.0,0.52,1937,46,0.704,0.0
714257958,Existing Customer,41,F,3,Doctorate,Single,Less than $40K,Blue,31,4,2,1,1738.0,0,1738.0,0.654,4220,68,0.889,0.0
779198133,Existing Customer,45,F,3,High School,Divorced,Less than $40K,Blue,33,3,3,2,9977.0,2088,7889.0,0.65,3530,61,0.743,0.209
713379258,Existing Customer,32,F,1,High School,Married,Less than $40K,Blue,36,1,1,2,4097.0,1293,2804.0,0.671,15925,100,0.786,0.316
717623583,Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,27,4,2,4,3444.0,2441,1003.0,1.563,2668,51,0.545,0.709
712290258,Existing Customer,49,F,1,Unknown,Married,Less than $40K,Blue,40,5,1,3,2636.0,1840,796.0,0.844,4056,67,0.811,0.698
713983308,Existing Customer,60,M,0,Post-Graduate,Married,$60K - $80K,Blue,49,5,1,4,3182.0,1928,1254.0,0.509,1233,35,0.4,0.606
711772008,Attrited Customer,35,F,3,Graduate,Single,Less than $40K,Blue,22,1,2,1,1890.0,666,1224.0,0.691,1483,36,0.5,0.352
720353808,Attrited Customer,34,M,3,High School,Unknown,$80K - $120K,Silver,21,1,2,3,34516.0,0,34516.0,0.794,9177,50,1.083,0.0
720408708,Existing Customer,49,F,2,Uneducated,Married,Less than $40K,Blue,36,3,4,1,2505.0,0,2505.0,0.62,4109,61,0.743,0.0
790186458,Existing Customer,45,M,3,Uneducated,Single,$80K - $120K,Blue,39,3,1,0,17996.0,864,17132.0,0.597,1589,30,0.667,0.048
714467733,Existing Customer,45,M,2,Graduate,Married,$60K - $80K,Silver,36,3,2,3,30428.0,1721,28707.0,0.717,4178,69,0.605,0.057
710812533,Attrited Customer,46,F,3,High School,Single,Unknown,Silver,36,4,2,3,34516.0,154,34362.0,0.602,1987,46,0.586,0.004
716315508,Attrited Customer,37,F,3,Post-Graduate,Married,$40K - $60K,Blue,36,2,2,5,3233.0,2517,716.0,0.0,1339,32,0.0,0.779
713639058,Attrited Customer,49,M,3,High School,Married,$60K - $80K,Blue,34,6,3,3,1511.0,0,1511.0,0.432,1329,35,0.591,0.0
716512383,Existing Customer,39,F,2,High School,Married,Less than $40K,Blue,36,1,3,1,2816.0,2517,299.0,0.742,4817,87,0.776,0.894
720537633,Existing Customer,44,F,3,Doctorate,Married,Less than $40K,Blue,36,2,3,1,3047.0,2139,908.0,0.842,4961,85,0.635,0.702
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706,788.0,1.674,1305,24,3.0,0.473
737925558,Existing Customer,64,M,0,Doctorate,Married,$40K - $60K,Blue,56,3,2,2,4234.0,1893,2341.0,0.585,1439,42,0.355,0.447
708878508,Existing Customer,45,F,3,High School,Married,Less than $40K,Blue,37,4,1,3,2104.0,1267,837.0,0.677,1732,35,1.059,0.602
713373708,Attrited Customer,54,F,3,Unknown,Single,Less than $40K,Blue,36,2,3,3,1857.0,0,1857.0,0.488,2464,57,0.839,0.0
709229358,Existing Customer,46,F,5,Uneducated,Single,Less than $40K,Blue,38,6,1,4,2601.0,1604,997.0,0.853,4835,80,0.702,0.617
813752433,Attrited Customer,43,F,3,Graduate,Single,Less than $40K,Blue,38,5,2,4,4075.0,1986,2089.0,1.214,2449,27,0.038,0.487
758168133,Existing Customer,50,F,0,High School,Married,$40K - $60K,Blue,43,2,3,1,4154.0,1060,3094.0,0.544,4325,86,0.72,0.255
719363283,Existing Customer,59,F,0,Doctorate,Single,Less than $40K,Blue,36,3,1,2,1438.3,0,1438.3,0.691,1904,47,0.382,0.0
720289533,Existing Customer,47,F,4,Unknown,Married,Unknown,Blue,42,5,2,3,1882.0,1143,739.0,0.638,4536,85,0.889,0.607
714999483,Existing Customer,38,M,4,Uneducated,Unknown,$80K - $120K,Silver,36,2,1,2,34516.0,1132,33384.0,0.84,9389,106,0.797,0.033
771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353.0,0,3353.0,1.021,960,18,0.385,0.0
708582858,Existing Customer,38,M,3,Graduate,Single,$60K - $80K,Blue,25,3,3,4,18293.0,0,18293.0,0.571,2958,63,0.432,0.0
718801158,Existing Customer,49,M,3,Graduate,Single,$40K - $60K,Gold,36,2,2,2,23981.0,1408,22573.0,0.844,14455,96,0.846,0.059
720592533,Attrited Customer,41,M,4,Graduate,Unknown,$80K - $120K,Blue,31,3,3,2,19782.0,868,18914.0,0.808,2535,44,0.467,0.044
720119808,Existing Customer,42,M,3,High School,Married,$80K - $120K,Blue,36,3,2,2,24126.0,948,23178.0,0.616,3342,52,0.677,0.039
802675983,Existing Customer,42,F,3,Graduate,Married,Less than $40K,Blue,33,2,3,1,3794.0,1544,2250.0,0.72,7872,80,0.538,0.407
717765183,Existing Customer,55,F,1,Unknown,Single,Unknown,Blue,42,4,5,3,1438.3,0,1438.3,0.74,4956,72,0.714,0.0
713790708,Existing Customer,38,M,3,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,3421.0,2308,1113.0,2.037,2269,39,1.053,0.675
715660308,Attrited Customer,54,F,3,College,Married,Less than $40K,Blue,44,5,3,2,2921.0,2412,509.0,0.823,2612,33,0.375,0.826
716181858,Existing Customer,42,F,2,Uneducated,Married,$40K - $60K,Blue,29,1,2,2,1622.0,0,1622.0,0.709,4633,67,0.634,0.0
720124758,Attrited Customer,49,M,3,Uneducated,Married,$80K - $120K,Blue,40,5,4,3,2509.0,450,2059.0,0.654,2239,47,0.621,0.179
712979133,Attrited Customer,55,M,4,High School,Married,$80K - $120K,Blue,41,2,2,2,27560.0,900,26660.0,1.031,646,10,0.25,0.033
719238183,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,35,3,2,3,1872.0,1167,705.0,0.517,2238,45,0.607,0.623
718009158,Existing Customer,50,F,3,Uneducated,Single,Less than $40K,Blue,41,4,2,2,2563.0,1860,703.0,0.68,3774,83,0.804,0.726
713257083,Existing Customer,46,F,4,Unknown,Married,$40K - $60K,Blue,36,1,3,1,1925.0,1202,723.0,0.518,4343,66,0.737,0.624
711313158,Existing Customer,50,F,4,Unknown,Single,Unknown,Blue,44,5,1,1,10721.0,0,10721.0,0.861,4962,74,0.51,0.0
709319658,Attrited Customer,48,F,4,Graduate,Single,Less than $40K,Platinum,37,5,3,4,15987.0,0,15987.0,0.827,7681,71,0.69,0.0
789953733,Existing Customer,46,F,3,Graduate,Married,Less than $40K,Blue,37,5,1,3,2470.0,1961,509.0,0.802,4519,78,0.733,0.794
720578058,Existing Customer,53,M,4,Unknown,Single,$60K - $80K,Blue,42,3,3,4,8386.0,2375,6011.0,0.539,4101,67,0.718,0.283
768475383,Existing Customer,62,F,0,Unknown,Single,$40K - $60K,Blue,56,6,1,2,4467.0,0,4467.0,0.888,4007,74,0.542,0.0
711108408,Existing Customer,55,M,2,Uneducated,Single,$60K - $80K,Blue,36,2,1,1,17540.0,1337,16203.0,0.734,14244,96,0.6,0.076
711788583,Existing Customer,61,F,1,Graduate,Single,Less than $40K,Blue,36,3,2,2,3466.0,1444,2022.0,0.653,15075,124,0.699,0.417
778357458,Existing Customer,44,F,5,Unknown,Single,Less than $40K,Blue,24,4,3,3,2003.0,1224,779.0,0.646,1756,42,0.355,0.611
771602883,Existing Customer,42,M,3,High School,Single,$80K - $120K,Blue,30,4,5,4,4147.0,1719,2428.0,0.875,1776,44,0.571,0.415
712283808,Existing Customer,50,F,3,High School,Married,Less than $40K,Silver,40,5,2,2,10062.0,1149,8913.0,0.76,1964,44,0.467,0.114
747208083,Existing Customer,49,M,4,Graduate,Single,$40K - $60K,Blue,42,3,3,2,2822.0,1501,1321.0,1.043,4344,68,1.194,0.532
716934333,Existing Customer,50,M,3,Uneducated,Single,$80K - $120K,Blue,40,3,1,4,13306.0,2458,10848.0,0.516,3556,68,0.581,0.185
715857183,Existing Customer,46,M,2,College,Single,$60K - $80K,Blue,36,3,3,2,4939.0,1296,3643.0,0.911,2150,43,0.87,0.262
813810333,Attrited Customer,50,M,3,Post-Graduate,Married,$60K - $80K,Blue,45,6,4,3,2049.0,0,2049.0,0.974,2703,54,1.0,0.0
709117533,Existing Customer,42,M,3,High School,Single,$80K - $120K,Blue,36,4,3,1,21134.0,1508,19626.0,0.505,1556,35,0.842,0.071
713128833,Existing Customer,49,M,2,Unknown,Unknown,$60K - $80K,Blue,36,5,3,2,6511.0,1790,4721.0,0.397,1478,38,0.267,0.275
811942983,Existing Customer,55,M,2,High School,Married,$120K +,Blue,50,3,2,3,17627.0,1756,15871.0,0.757,4836,74,0.721,0.1
787599258,Existing Customer,55,F,3,Graduate,Single,Less than $40K,Blue,29,6,1,2,7361.0,1309,6052.0,0.504,1175,34,0.7,0.178
716615583,Existing Customer,61,F,1,High School,Married,Less than $40K,Blue,51,3,3,3,1795.0,794,1001.0,0.953,1834,59,1.107,0.442
719767683,Attrited Customer,46,M,0,College,Single,$80K - $120K,Blue,39,2,3,3,16983.0,0,16983.0,1.061,8526,79,0.837,0.0
793625583,Existing Customer,48,F,3,High School,Single,$40K - $60K,Blue,42,6,1,1,3743.0,2090,1653.0,0.969,4674,67,0.718,0.558
711668283,Existing Customer,48,M,4,Uneducated,Married,$80K - $120K,Blue,37,5,6,3,30948.0,2404,28544.0,0.609,1511,35,0.207,0.078
713023158,Existing Customer,39,F,2,College,Married,$40K - $60K,Blue,31,3,1,2,2901.0,2143,758.0,0.948,4239,78,0.733,0.739
711412533,Attrited Customer,40,F,3,High School,Single,Less than $40K,Blue,35,6,3,5,5492.0,1573,3919.0,0.636,2416,45,0.667,0.286
716474358,Existing Customer,43,F,3,Unknown,Married,Less than $40K,Blue,35,5,3,2,1721.0,729,992.0,0.902,4853,74,0.644,0.424
803231058,Existing Customer,53,M,3,High School,Single,Less than $40K,Blue,47,5,1,1,3351.0,1474,1877.0,0.393,4294,66,0.737,0.44
720859533,Existing Customer,52,F,2,High School,Single,$40K - $60K,Blue,39,2,1,1,12214.0,2379,9835.0,0.769,8426,105,0.544,0.195
715769958,Existing Customer,53,F,3,Unknown,Married,$40K - $60K,Blue,39,3,2,2,4855.0,1912,2943.0,0.606,14969,104,0.763,0.394
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044
716485308,Existing Customer,43,F,2,Unknown,Unknown,Less than $40K,Blue,36,4,3,3,1780.0,1541,239.0,0.839,5008,93,0.722,0.866
708726708,Attrited Customer,42,F,3,Graduate,Single,$40K - $60K,Blue,36,6,2,3,1451.0,599,852.0,0.752,2192,35,0.458,0.413
716698608,Existing Customer,51,M,2,Unknown,Single,$80K - $120K,Blue,39,2,1,1,8924.0,0,8924.0,0.46,4441,87,0.673,0.0
716751858,Attrited Customer,34,F,1,Unknown,Married,Less than $40K,Blue,36,2,3,3,2401.0,496,1905.0,0.647,2597,40,0.379,0.207
710536983,Existing Customer,49,F,0,Post-Graduate,Married,Less than $40K,Blue,36,6,3,3,3007.0,2517,490.0,0.853,4423,67,0.675,0.837
716014983,Existing Customer,56,F,3,High School,Single,Less than $40K,Blue,48,6,5,3,8340.0,1902,6438.0,0.81,3755,77,0.833,0.228
710779083,Existing Customer,59,F,0,Graduate,Married,Less than $40K,Blue,48,3,3,4,1661.0,0,1661.0,0.672,4338,77,0.925,0.0
804426858,Existing Customer,35,F,1,Uneducated,Married,Less than $40K,Blue,30,3,2,1,2593.0,1660,933.0,0.562,1974,33,1.062,0.64
710665533,Existing Customer,42,F,5,Doctorate,Married,Unknown,Blue,23,4,2,2,24602.0,1660,22942.0,0.588,1337,44,0.76,0.067
711654558,Existing Customer,46,M,3,Graduate,Unknown,$60K - $80K,Blue,36,6,3,4,2179.0,1632,547.0,0.801,4025,69,0.683,0.749
779474958,Existing Customer,35,F,3,Unknown,Single,Less than $40K,Blue,17,6,1,1,2956.0,1823,1133.0,0.969,2144,58,0.812,0.617
712733958,Attrited Customer,46,F,2,Unknown,Single,Less than $40K,Blue,36,6,3,3,1731.0,0,1731.0,0.529,2304,46,1.0,0.0
712431183,Existing Customer,52,F,2,Uneducated,Single,Less than $40K,Blue,37,4,3,1,2164.0,0,2164.0,0.688,5282,80,0.818,0.0
794653983,Existing Customer,44,F,3,Graduate,Married,Less than $40K,Blue,27,3,1,4,1480.0,1017,463.0,1.008,5245,80,0.86,0.687
710424408,Existing Customer,63,M,2,Graduate,Married,Less than $40K,Blue,36,5,2,4,2743.0,1815,928.0,0.567,1210,25,1.273,0.662
778264008,Existing Customer,41,F,3,College,Single,$40K - $60K,Blue,32,2,1,2,3104.0,1954,1150.0,0.473,4699,77,0.925,0.63
718815108,Existing Customer,50,M,2,Unknown,Married,$80K - $120K,Blue,38,3,3,1,6030.0,1315,4715.0,0.623,3420,81,0.841,0.218
711906033,Existing Customer,48,F,3,Graduate,Unknown,Less than $40K,Blue,36,4,2,2,6182.0,1131,5051.0,0.566,3546,63,0.615,0.183
720108783,Existing Customer,60,F,1,Uneducated,Single,Unknown,Blue,50,6,3,3,7459.0,1717,5742.0,1.001,4328,68,0.581,0.23
713348433,Existing Customer,42,F,3,High School,Single,$40K - $60K,Blue,29,6,3,2,1545.0,751,794.0,0.551,4477,62,0.59,0.486
771499233,Existing Customer,46,F,4,High School,Married,Less than $40K,Blue,34,6,1,3,5387.0,1133,4254.0,0.652,4374,76,0.49,0.21
714500883,Existing Customer,44,F,3,Graduate,Married,Unknown,Blue,36,4,2,3,21242.0,819,20423.0,0.499,1283,37,0.542,0.039
718034058,Existing Customer,40,M,4,Graduate,Single,$60K - $80K,Blue,36,3,2,2,8529.0,901,7628.0,0.764,4252,68,0.511,0.106
779808333,Existing Customer,48,F,2,Graduate,Single,Less than $40K,Blue,38,2,1,2,8881.0,1901,6980.0,0.808,15530,110,0.692,0.214
771330558,Existing Customer,51,M,4,High School,Married,$60K - $80K,Blue,38,5,2,3,10462.0,1824,8638.0,0.736,1267,31,0.55,0.174
824160333,Existing Customer,56,M,2,High School,Unknown,$120K +,Blue,52,6,2,2,23362.0,1453,21909.0,0.848,15399,116,0.841,0.062
717819633,Existing Customer,49,F,3,Uneducated,Married,Less than $40K,Blue,42,6,1,2,3949.0,1463,2486.0,1.072,4124,57,0.839,0.37
719143308,Existing Customer,37,M,2,Unknown,Single,$40K - $60K,Blue,28,4,4,3,2394.0,0,2394.0,1.059,2805,85,0.667,0.0
718961208,Existing Customer,43,F,3,College,Single,Less than $40K,Blue,32,5,3,3,4204.0,0,4204.0,1.073,3799,85,0.604,0.0
790051758,Attrited Customer,50,M,2,Graduate,Single,$120K +,Blue,42,2,1,2,31782.0,0,31782.0,1.056,4800,53,0.395,0.0
709267308,Existing Customer,62,M,1,Graduate,Married,$80K - $120K,Blue,49,3,1,2,2437.0,1400,1037.0,0.779,1651,32,1.0,0.574
780094008,Existing Customer,55,M,3,Doctorate,Married,$120K +,Blue,40,4,3,1,12875.0,1119,11756.0,0.401,1624,40,0.429,0.087
713656308,Existing Customer,56,F,0,High School,Married,Less than $40K,Blue,48,3,3,1,1438.3,0,1438.3,0.618,4210,75,0.5,0.0
710382108,Existing Customer,39,F,3,Post-Graduate,Married,Less than $40K,Blue,19,5,1,2,2452.0,2423,29.0,0.778,4204,63,0.8,0.988
770783508,Existing Customer,48,M,3,Graduate,Divorced,$60K - $80K,Blue,34,6,3,2,11062.0,0,11062.0,0.761,4084,72,0.8,0.0
713533983,Existing Customer,56,M,1,Graduate,Married,$120K +,Blue,48,6,3,4,2585.0,1207,1378.0,0.44,1590,33,0.32,0.467
720729108,Existing Customer,32,F,0,Unknown,Single,Less than $40K,Blue,17,1,2,1,4445.0,1080,3365.0,0.84,5373,87,0.776,0.243
720014358,Existing Customer,38,F,1,Doctorate,Single,Less than $40K,Blue,26,5,2,4,1934.0,985,949.0,0.72,4019,78,0.857,0.509
